,움직임(z축 X)_1,움직임(z축 X)_0
317,2.396,2.774
318,2.331,2.654
319,2.399,2.443
320,2.397,2.612
321,2.399,2.744
322,2.397,4.253
323,2.394,3.895
324,2.327,3.358
325,2.33,3.808
326,2.328,3.062
327,2.395,3.215
328,2.395,3.271
329,2.54,3.929
330,2.397,4.091
331,2.399,3.29
332,2.399,3.336
333,2.331,2.696
334,2.4,3.026
335,2.395,2.781
336,2.394,3.245
337,2.395,3.248
338,2.397,3.416
339,2.396,2.575
340,2.398,3.073
341,2.394,3.215
342,2.391,3.014
343,2.394,2.826
344,2.387,3.044
345,2.619,2.879
346,2.395,3.342
347,2.391,3.926
348,2.383,3.797
349,2.384,4.299
350,2.382,3.37
351,2.385,3.603
352,2.388,3.384
353,2.389,3.371
354,2.386,3.11
355,2.39,3.1
356,2.394,3.095
357,2.33,3.123
358,2.396,3.042
359,2.397,3.445
360,2.395,2.992
361,2.395,3.064
362,2.395,2.687
363,2.397,3.136
364,2.395,3.018
365,2.397,3.077
366,2.397,3.148
367,2.407,2.902
368,2.389,2.529
369,2.394,2.601
370,2.394,2.606
371,2.393,2.55
372,2.391,2.726
373,2.389,2.873
374,2.391,3.23
375,2.39,2.937
376,2.39,2.869
377,2.391,3.095
378,2.383,3.084
379,2.385,2.987
380,2.381,2.613
381,2.381,3.02
382,2.381,2.665
383,2.382,2.797
384,2.381,2.611
385,2.383,2.536
386,2.891,3.087
387,2.567,3.248
388,2.789,3.112
389,3.157,3.237
390,2.504,3.441
391,2.493,3.338
392,2.509,3.075
393,2.832,3.079
394,3.307,3.069
395,2.714,3.066
396,2.501,2.924
397,2.506,2.859
398,2.439,3.045
399,2.485,2.874
400,2.503,3.19
401,2.515,3.188
402,2.452,2.746
403,2.45,3.77
404,2.447,3.483
405,2.453,3.657
406,2.461,3.407
407,2.538,3.079
408,2.466,3.172
409,2.484,3.121
410,2.458,3.745
411,2.457,2.986
412,2.461,3.996
413,2.456,3.182
414,2.461,3.317
415,2.469,3.217
416,2.444,3.455
417,2.428,3.344
418,2.428,3.364
419,2.463,3.238
420,2.47,3.288
421,2.46,3.31
422,2.438,3.522
423,2.435,3.463
424,2.433,3.023
425,2.42,3.287
426,2.342,3.628
427,2.328,3.08
428,2.309,2.688
429,2.312,2.885
430,2.325,3.402
431,2.426,2.68
432,2.308,2.965
433,2.554,3.08
434,2.722,2.819
435,2.841,3.067
436,2.399,3.046
437,2.307,2.956
438,2.314,3.127
439,2.356,2.987
440,2.305,3.041
441,2.302,3.097
442,2.311,3.058
443,2.298,2.975
444,2.289,2.782
445,2.377,2.734
446,2.434,2.957
447,2.387,3.029
448,2.748,2.857
449,2.392,2.858
450,2.351,3.286
451,2.36,2.414
452,2.413,3.122
453,2.383,2.912
454,2.406,2.705
455,2.396,2.832
456,2.328,3.101
457,2.408,4.096
458,2.388,3.426
459,2.457,3.3
460,2.451,3.489
461,2.451,3.561
462,2.449,3.477
463,2.534,3.598
464,2.8,3.458
465,2.446,3.441
466,2.429,3.534
467,2.763,3.414
468,2.688,3.448
469,2.445,3.418
470,2.43,3.677
471,2.435,3.531
472,2.429,3.271
473,2.43,3.133
474,2.428,3.143
475,2.434,3.373
476,2.44,3.251
477,2.433,3.244
478,2.42,3.252
479,2.417,3.249
480,2.415,3.26
481,2.419,3.235
482,2.406,3.333
483,2.403,3.259
484,2.407,3.151
485,2.401,3.149
486,2.398,3.268
487,2.414,3.257
488,2.576,3.143
489,2.872,3.255
490,2.508,3.134
491,2.497,3.341
492,2.468,3.628
493,2.445,3.378
494,2.448,3.077
495,2.441,3.134
496,2.445,3.018
497,2.535,3.16
498,2.473,3.171
499,2.698,2.973
500,2.608,2.959
501,2.494,3.022
502,3.229,3.049
503,2.085,3.143
504,2.078,3.304
505,2.064,3.188
506,2.073,3.312
507,2.07,3.46
508,2.074,3.485
509,2.079,3.397
510,2.157,3.094
511,2.16,3.234
512,2.082,3.283
513,2.083,3.376
514,2.086,3.149
515,2.084,3.339
516,2.085,3.177
517,2.086,3.415
518,2.16,3.199
519,2.115,3.019
520,2.311,3.24
521,2.742,3.07
522,2.604,3.191
523,2.605,3.155
524,2.606,3.274
525,2.615,3.043
526,3.093,3.216
527,2.658,3.202
528,2.962,3.38
529,2.896,3.737
530,2.981,3.313
531,2.527,3.483
532,2.42,3.829
533,2.444,3.548
534,2.442,3.728
535,2.455,3.506
536,2.461,3.454
537,2.474,3.317
538,2.456,3.408
539,2.454,3.174
540,2.454,3.35
541,2.451,2.978
542,3.27,3.095
543,3.133,3.139
544,3.14,3.426
545,3.152,2.716
546,2.649,2.575
547,2.63,2.037
548,2.577,1.945
549,2.57,1.909
550,2.558,1.882
551,2.565,1.853
552,2.569,1.855
553,2.575,1.867
554,2.586,2.28
555,2.694,2.217
556,2.787,2.148
557,2.972,2.675
558,2.85,2.105
559,2.732,2.642
560,2.732,2.104
561,2.757,1.957
562,2.807,2.045
563,2.738,1.871
564,2.757,1.981
565,2.732,2.011
566,2.743,2.236
567,2.732,2.607
568,2.724,2.504
569,2.726,2.69
570,2.724,2.498
571,2.723,3.138
572,2.72,2.132
573,2.716,2.063
574,2.718,2.009
575,2.725,2.686
576,2.719,2.511
577,2.718,2.443
578,2.716,2.624
579,2.713,2.212
580,2.709,2.073
581,2.71,2.032
582,2.708,2.043
583,2.708,1.913
584,2.731,1.962
585,2.905,1.878
586,2.634,1.998
587,2.626,1.954
588,2.633,1.96
589,2.778,2.5
590,2.37,2.857
591,2.371,3.301
592,2.384,2.474
593,2.382,2.303
594,2.39,2.807
595,2.397,2.599
596,2.4,2.602
597,2.408,2.49
598,2.411,2.87
599,2.418,2.833
600,2.379,2.668
601,2.388,2.488
602,2.378,2.438
603,2.374,2.431
604,2.386,2.799
605,2.373,2.631
606,2.377,2.357
607,2.368,2.274
608,2.389,2.334
609,2.375,2.457
610,2.37,2.805
611,2.37,2.747
612,2.382,4.102
613,2.393,2.23
614,2.448,2.289
615,2.383,2.107
616,2.367,2.043
617,2.365,2.17
618,2.354,2.774
619,2.362,2.481
620,2.358,2.497
621,2.367,2.372
622,2.361,2.346
623,2.363,2.367
624,2.362,2.365
625,2.371,2.004
626,2.374,2.027
627,2.378,2.243
628,2.366,2.356
629,2.39,2.452
630,2.373,2.334
631,2.829,2.328
632,2.38,2.29
633,2.275,2.378
634,2.819,2.549
635,2.141,3.216
636,2.153,2.907
637,2.21,2.63
638,2.426,2.325
639,2.91,2.493
640,2.398,2.483
641,2.238,2.486
642,2.571,2.413
643,2.242,2.173
644,2.488,2.379
645,2.359,2.884
646,2.147,2.413
647,2.315,2.265
648,2.863,2.201
649,2.24,2.457
650,2.028,2.611
651,2.023,2.323
652,3.313,2.26
653,2.735,2.715
654,1.908,2.51
655,1.9,2.448
656,2.007,2.667
657,1.99,2.281
658,2.425,2.406
659,2.368,2.405
660,1.899,2.315
661,1.954,2.254
662,2.274,2.342
663,2.198,2.24
664,2.641,2.408
665,3.133,2.288
666,2.557,2.232
667,2.457,2.531
668,2.34,2.236
669,2.32,2.288
670,2.328,2.325
671,2.316,2.545
672,2.323,2.405
673,3.093,2.542
674,3.042,2.281
675,3.055,2.28
676,1.939,3.397
677,2.673,3.463
678,2.443,3.857
679,2.8,2.861
680,2.315,2.874
681,2.1,2.963
682,2.191,2.99
683,1.989,2.925
684,1.864,2.901
685,1.914,2.673
686,1.937,2.933
687,1.946,3.313
688,1.922,2.646
689,1.873,2.83
690,1.875,2.513
691,1.877,2.644
692,1.878,2.743
693,1.877,2.662
694,1.931,2.265
695,1.932,2.585
696,1.882,2.774
697,2.145,2.862
698,1.809,2.841
699,1.811,2.758
700,1.815,3.059
701,1.824,2.806
702,1.83,3.312
703,1.833,2.843
704,1.883,2.443
705,1.887,2.581
706,1.836,2.538
707,1.903,2.49
708,1.917,2.574
709,1.884,2.646
710,1.833,2.422
711,1.833,2.494
712,1.838,2.774
713,1.887,2.668
714,1.88,2.811
715,1.833,2.64
716,1.885,2.404
717,2.056,2.32
718,1.891,2.549
719,1.888,2.396
720,1.889,2.549
721,1.883,2.455
722,2.08,2.295
723,1.856,2.477
724,1.915,2.697
725,1.913,2.946
726,1.855,3.28
727,1.859,2.878
728,1.916,2.808
729,1.867,2.793
730,1.898,2.478
731,1.944,2.731
732,1.94,3.061
733,1.943,3.051
734,1.958,2.899
735,2.028,3.014
736,2.074,2.95
737,1.926,2.762
738,1.915,2.407
739,1.956,2.698
740,1.893,2.553
741,1.896,3.213
742,1.953,3.288
743,1.898,3.166
744,1.895,3.159
745,1.897,3.257
746,1.955,3.02
747,1.896,2.693
748,1.953,2.683
749,2.122,2.649
750,2.038,2.5
751,1.937,2.898
752,1.93,2.889
753,1.934,2.732
754,1.937,2.959
755,1.885,3.037
756,1.937,2.535
757,1.939,2.826
758,1.886,2.893
759,1.887,3.017
760,1.941,2.79
761,1.942,3.027
762,1.99,3.308
763,2.059,3.497
764,1.879,3.65
765,1.931,3.343
766,1.934,2.559
767,1.98,2.629
768,1.946,2.423
769,1.881,2.327
770,1.882,2.703
771,1.939,3.217
772,1.95,2.499
773,1.911,2.522
774,1.956,2.534
775,1.895,2.498
776,1.886,2.45
777,1.94,2.753
778,1.886,2.734
779,1.907,2.739
780,1.839,2.615
781,1.887,2.507
782,1.885,2.577
783,1.884,2.558
784,1.885,2.644
785,1.905,2.571
786,1.897,2.599
787,1.896,2.841
788,1.958,2.681
789,1.986,2.432
790,1.942,2.404
791,1.949,2.392
792,1.944,2.496
793,1.889,2.63
794,1.891,2.444
795,1.952,3.205
796,1.907,2.671
797,1.913,2.626
798,1.856,2.512
799,1.918,2.49
800,1.916,2.554
801,1.914,2.616
802,1.927,2.491
803,1.932,2.396
804,1.936,2.667
805,2.812,2.426
806,2.497,2.525
807,3.315,2.54
808,2.38,2.626
809,2.395,2.502
810,2.4,2.674
811,2.407,2.579
812,2.408,2.69
813,2.49,2.64
814,2.455,2.706
815,2.53,2.609
816,2.515,2.511
817,2.443,2.446
818,2.443,2.421
819,2.455,2.469
820,2.486,2.792
821,2.522,2.9
822,2.514,2.829
823,2.488,2.84
824,2.459,2.596
825,2.465,2.398
826,2.473,2.32
827,2.464,2.407
828,2.466,2.426
829,2.467,2.421
830,2.469,2.329
831,2.469,2.334
832,2.463,2.419
833,2.462,2.456
834,2.462,2.536
835,2.473,2.509
836,2.667,2.443
837,2.669,2.444
838,2.737,2.215
839,2.455,2.217
840,2.452,2.299
841,2.454,2.229
842,2.531,2.313
843,2.465,2.336
844,2.491,2.256
845,2.773,2.246
846,2.387,2.33
847,2.383,2.249
848,2.394,2.329
849,2.756,2.252
850,2.809,2.178
851,2.776,2.333
852,2.879,2.336
853,2.87,2.315
854,2.561,2.441
855,2.485,2.303
856,2.453,2.216
857,2.548,2.285
858,2.622,2.208
859,2.527,2.31
860,2.61,2.32
861,2.629,2.378
862,2.6,2.382
863,2.623,2.299
864,2.582,2.305
865,2.582,2.382
866,2.588,2.297
867,2.602,2.372
868,2.605,2.46
869,2.625,2.371
870,2.627,2.373
871,2.621,2.374
872,2.579,2.293
873,2.583,2.38
874,2.591,2.292
875,2.603,2.811
876,2.601,2.365
877,2.598,2.445
878,2.586,2.257
879,2.594,2.555
880,2.595,2.506
881,2.603,2.964
882,2.602,3.016
883,2.604,2.981
884,2.617,3.083
885,2.617,2.964
886,2.66,3.115
887,2.642,2.94
888,3.116,3.002
889,2.549,3.085
890,2.996,3.181
891,2.619,3.019
892,2.906,3.126
893,2.949,2.987
894,3.088,3.13
895,2.667,3.098
896,2.628,3.064
897,2.605,3.063
898,2.598,3.098
899,2.607,3.098
900,2.597,3.078
901,2.6,3.231
902,2.682,3.623
903,2.683,2.448
904,2.619,2.519
905,2.617,2.537
906,2.612,2.456
907,2.608,2.468
908,2.618,2.503
909,2.832,2.505
910,2.811,2.534
911,2.656,2.578
912,2.698,2.51
913,2.81,2.45
914,2.769,2.611
915,2.682,2.572
916,2.676,2.649
917,2.63,2.655
918,2.723,2.528
919,2.71,2.619
920,2.725,2.539
921,2.647,2.52
922,2.661,2.591
923,2.675,2.5
924,2.742,2.496
925,2.337,2.914
926,2.062,2.711
927,2.18,2.62
928,2.188,2.79
929,2.101,2.493
930,2.182,2.535
931,2.246,2.445
932,2.028,2.64
933,2.088,2.694
934,2.121,2.676
935,2.351,3.002
936,2.227,2.544
937,2.441,2.687
938,2.507,2.624
939,2.284,2.957
940,2.279,2.75
941,2.299,2.646
942,2.198,2.826
943,2.064,2.593
944,2.033,2.845
945,2.026,2.618
946,2.022,2.634
947,2.029,2.832
948,2.027,2.556
949,2.033,2.801
950,2.031,2.886
951,2.034,2.394
952,2.117,2.475
953,2.18,2.912
954,2.075,2.357
955,2.903,2.498
956,2.104,2.555
957,2.08,2.642
958,2.1,2.839
959,2.165,2.216
960,2.309,2.635
961,2.086,2.991
962,2.077,2.532
963,2.08,2.526
964,3.246,2.437
965,2.339,2.441
966,2.375,2.527
967,2.689,2.524
968,2.56,2.528
969,2.454,2.57
970,3.155,2.634
971,2.538,2.768
972,2.915,2.365
973,2.16,2.367
974,1.99,2.507
975,2.006,2.513
976,1.993,2.43
