,얼굴각도_1,얼굴각도_0
0,2.700000000000003,19.40000000000001
1,1.7999999999999972,9.899999999999991
2,0.8999999999999915,12.600000000000009
3,2.700000000000003,13.099999999999994
4,2.700000000000003,23.0
5,1.7999999999999972,3.5999999999999943
6,2.700000000000003,5.0
7,1.8000000000000114,26.10000000000001
8,1.8000000000000114,13.5
9,2.700000000000003,21.599999999999994
10,5.400000000000006,16.700000000000003
11,4.5,10.400000000000006
12,3.5999999999999943,12.599999999999994
13,2.700000000000003,7.700000000000003
14,1.7999999999999972,20.3
15,1.7999999999999972,3.200000000000003
16,4.5,5.900000000000006
17,3.6000000000000085,20.3
18,0.9000000000000057,13.499999999999991
19,2.700000000000003,18.90000000000001
20,2.700000000000003,4.099999999999994
21,1.8000000000000114,17.099999999999994
22,1.8000000000000114,15.799999999999995
23,1.8000000000000114,13.099999999999994
24,2.700000000000003,15.799999999999995
25,0.9000000000000057,29.3
26,1.7999999999999972,20.3
27,1.7999999999999972,29.7
28,1.7999999999999972,21.599999999999994
29,0.9000000000000057,21.200000000000003
30,1.7999999999999972,12.200000000000005
31,1.7999999999999972,8.599999999999994
32,1.7999999999999972,14.900000000000006
33,1.7999999999999972,15.799999999999995
34,1.7999999999999972,32.0
35,0.9000000000000057,31.1
36,1.7999999999999972,11.699999999999996
37,0.8999999999999915,16.700000000000003
38,1.7999999999999972,21.200000000000003
39,0.9000000000000057,14.900000000000006
40,1.8000000000000114,8.099999999999994
41,1.8000000000000114,5.400000000000006
42,11.299999999999995,8.099999999999994
43,4.099999999999994,22.500000000000007
44,3.5999999999999943,31.1
45,5.399999999999992,34.2
46,2.700000000000003,13.5
47,5.400000000000006,2.700000000000003
48,4.5,4.5
49,13.5,40.5
50,3.6000000000000085,15.299999999999995
51,6.300000000000011,31.5
52,5.400000000000006,19.800000000000004
53,3.6000000000000085,24.8
54,2.700000000000003,1.7999999999999972
55,2.700000000000003,6.299999999999997
56,1.7999999999999972,2.6999999999999886
57,2.700000000000003,1.7999999999999972
58,2.700000000000003,4.5
59,2.700000000000003,9.900000000000006
60,1.7999999999999972,9.5
61,2.700000000000003,6.799999999999997
62,3.6000000000000085,17.599999999999994
63,3.6000000000000085,18.5
64,1.7999999999999972,17.599999999999994
65,1.7999999999999972,11.699999999999989
66,5.400000000000006,3.5999999999999943
67,7.200000000000003,1.7999999999999972
68,1.7999999999999972,2.700000000000003
69,0.9000000000000057,1.7999999999999972
70,4.5,2.700000000000003
71,1.7999999999999972,7.200000000000003
72,2.6999999999999886,9.0
73,2.700000000000003,18.0
74,3.5999999999999943,11.700000000000005
75,2.700000000000003,2.700000000000003
76,3.5999999999999943,5.399999999999992
77,2.700000000000003,4.5
78,7.200000000000003,7.200000000000003
79,3.5999999999999943,25.200000000000003
80,3.6000000000000085,4.5
81,6.299999999999997,13.099999999999994
82,5.400000000000006,6.299999999999997
83,2.700000000000003,24.8
84,9.5,27.5
85,1.7999999999999972,20.3
86,1.7999999999999972,16.700000000000003
87,2.700000000000003,4.5
88,3.5999999999999943,20.3
89,2.700000000000003,23.40000000000001
90,1.7999999999999972,27.5
91,2.700000000000003,28.8
92,1.7999999999999972,28.4
93,2.700000000000003,20.700000000000003
94,2.700000000000003,7.700000000000003
95,2.700000000000003,19.8
96,1.8000000000000114,28.4
97,1.8000000000000114,23.0
98,1.8000000000000114,11.699999999999989
99,1.7999999999999972,19.40000000000001
100,0.9000000000000057,27.5
101,1.7999999999999972,17.099999999999994
102,1.7999999999999972,30.200000000000003
103,1.7999999999999972,32.0
104,4.5,32.9
105,2.6999999999999886,26.6
106,2.6999999999999886,24.8
107,0.9000000000000057,29.700000000000003
108,0.8999999999999915,25.700000000000003
109,1.7999999999999972,37.8
110,2.700000000000003,28.8
111,8.099999999999994,27.000000000000007
112,4.5,36.0
113,3.6000000000000085,36.0
114,4.5,22.500000000000007
115,1.7999999999999972,34.7
116,3.5999999999999943,31.1
117,3.5999999999999943,24.3
118,13.5,27.0
119,2.6999999999999886,1.4000000000000057
120,10.800000000000004,15.799999999999995
121,5.399999999999999,22.099999999999994
122,3.6000000000000014,12.599999999999994
123,4.499999999999993,13.099999999999994
124,9.9,14.900000000000006
125,13.5,10.799999999999995
126,3.6000000000000014,8.100000000000009
127,2.699999999999996,6.300000000000011
128,0.8999999999999986,9.0
129,3.5999999999999943,6.299999999999997
130,1.7999999999999972,8.099999999999994
131,3.6000000000000014,36.89999999999999
132,5.399999999999999,39.6
133,7.200000000000003,12.6
134,3.6000000000000085,16.200000000000003
135,12.599999999999994,26.6
136,7.200000000000003,28.8
137,8.099999999999994,28.800000000000004
138,5.400000000000006,5.399999999999999
139,2.700000000000003,2.699999999999996
140,5.400000000000006,2.699999999999996
141,5.399999999999992,2.700000000000003
142,3.6000000000000085,3.6000000000000014
143,12.599999999999994,2.700000000000003
144,3.5999999999999943,2.699999999999996
145,10.800000000000004,4.5
146,5.400000000000006,26.1
147,5.400000000000006,31.5
148,7.200000000000003,5.900000000000006
149,3.6000000000000014,21.599999999999994
150,4.5,32.4
151,3.6000000000000014,17.099999999999994
152,4.5,28.8
153,2.700000000000003,10.400000000000006
154,4.5,17.099999999999994
155,3.6000000000000085,13.099999999999994
156,9.900000000000006,24.8
157,4.5,13.5
158,10.800000000000011,12.200000000000005
159,2.6999999999999886,12.200000000000005
160,1.7999999999999972,17.599999999999994
161,6.299999999999997,4.099999999999994
162,4.5,14.900000000000006
163,4.5,7.199999999999989
164,2.700000000000003,4.5
165,4.5,15.299999999999995
166,7.200000000000003,9.900000000000006
