,화남_1,화남_0
0,0.0564705882352941,0.20125
1,0.0911764705882353,0.1291428571428571
2,0.0967647058823529,0.1971428571428572
3,0.1094117647058823,0.13
4,0.12,0.1508571428571428
5,0.1145714285714285,0.1134285714285713
6,0.1208823529411764,0.1785714285714286
7,0.1322857142857142,0.344
8,0.1029411764705882,0.0580555555555555
9,0.1120588235294117,0.0655555555555555
10,0.0751428571428571,0.0957142857142857
11,0.1091428571428571,0.1613888888888889
12,0.07,0.1942857142857143
13,0.0402857142857143,0.1019999999999999
14,0.0628571428571428,0.1434285714285715
15,0.0582857142857143,0.0768571428571427
16,0.0671428571428571,0.0355555555555555
17,0.0731428571428571,0.0274285714285714
18,0.0737142857142857,0.0354285714285714
19,0.1005714285714285,0.086
20,0.0757142857142856,0.0591428571428571
21,0.0628571428571428,0.0428571428571428
22,0.0802857142857143,0.0317142857142857
23,0.0814285714285714,0.03
24,0.1202857142857142,0.032
25,0.0965714285714285,0.0103333333333333
26,0.1611428571428571,0.0471428571428571
27,0.1568571428571428,0.0931578947368421
28,0.1036111111111111,0.0142424242424242
29,0.1077142857142857,0.008
30,0.1308571428571428,0.1911111111111111
31,0.1082857142857143,0.2205555555555555
32,0.0965714285714285,0.0108333333333333
33,0.0928571428571428,0.0116129032258064
34,0.1159999999999999,0.032
35,0.0828571428571428,0.0227777777777777
36,0.0457142857142857,0.106
37,0.0631428571428571,0.0588571428571428
38,0.058,0.06
39,0.0548571428571428,0.0402857142857143
40,0.0585714285714286,0.1254285714285714
41,0.0674285714285714,0.162
42,0.126875,0.0988571428571428
43,0.0846666666666667,0.069375
44,0.0571428571428571,0.1732258064516129
45,0.0565714285714286,0.11
46,0.0451428571428571,0.0955555555555555
47,0.0365714285714285,0.1717647058823529
48,0.0837142857142857,0.0977777777777777
49,0.0871428571428571,0.0997142857142857
50,0.0271428571428571,0.0733333333333333
51,0.0331428571428571,0.0276
52,0.0202857142857142,0.0
53,0.0591428571428571,0.0
54,0.0348571428571428,0.0
55,0.0542857142857143,0.024
