,행복_1,행복_0
0,0.008,0.0290625
1,0.0074285714285714,0.0074285714285714
2,0.0017142857142857,0.0252941176470588
3,0.0005714285714285,0.0177777777777777
4,0.0002857142857142,0.0608571428571428
5,0.0048571428571428,0.0802857142857142
6,0.0071428571428571,0.0511428571428571
7,0.0054285714285714,0.0537142857142857
8,0.0034285714285714,0.0671428571428571
9,0.002,0.0522222222222222
10,0.0051428571428571,0.0197222222222222
11,0.0054285714285714,0.0102857142857142
12,0.0082857142857142,0.0163888888888888
13,0.0044444444444444,0.0245714285714285
14,0.0025714285714285,0.0174285714285714
15,0.0057142857142857,0.0188571428571428
16,0.0042857142857142,0.0217142857142857
17,0.0074285714285714,0.0122222222222222
18,0.0071428571428571,0.0131428571428571
19,0.0057142857142857,0.0145714285714285
20,0.0065714285714285,0.0157142857142857
21,0.0071428571428571,0.0157142857142857
22,0.006,0.0214285714285714
23,0.0085714285714285,0.0827777777777777
24,0.008,0.0565714285714286
25,0.0085714285714285,0.0362857142857143
26,0.0048571428571428,0.0391428571428571
27,0.0037142857142857,0.034
28,0.0062857142857142,0.013125
29,0.0054285714285714,0.0187096774193548
30,0.0008571428571428,0.0346153846153846
31,0.0,0.02
32,0.0,0.0752941176470588
33,0.0,0.0
34,0.0014285714285714,0.0
35,0.006,0.0
36,0.0028571428571428,0.0225714285714285
37,0.0045714285714285,0.0837142857142857
38,0.0025714285714285,0.0497142857142857
39,0.0034285714285714,0.0212
40,0.0008333333333333,0.0282857142857143
41,0.0022857142857142,0.0214285714285714
42,0.0002857142857142,0.04
43,0.0011428571428571,0.0228571428571428
44,0.0071428571428571,0.0708571428571428
45,0.0037142857142857,0.0141666666666666
46,0.0057142857142857,0.0208333333333333
47,0.0048571428571428,0.0452777777777778
48,0.0054285714285714,0.0877777777777777
49,0.008,0.08
50,0.006,0.064516129032258
51,0.008,0.0152380952380952
52,0.0045714285714285,0.0184210526315789
53,0.0025714285714285,0.0068421052631578
54,0.0062857142857142,0.0088888888888888
55,0.0042857142857142,0.0068421052631578
56,0.0015625,0.0133333333333333
57,0.0083333333333333,0.0076
58,0.0083333333333333,0.0518181818181818
59,0.0080555555555555,0.0705714285714285
60,0.0,0.0775
61,0.0065714285714285,0.0597222222222222
62,0.0048571428571428,0.04
63,0.0,0.0445833333333333
64,0.0011428571428571,0.0604166666666666
65,0.0030555555555555,0.0283333333333333
66,0.0,0.0214285714285714
67,0.0,0.028
68,0.0022222222222222,0.0738888888888888
69,0.0077777777777777,0.065
70,0.0077777777777777,0.0411111111111111
71,0.0,0.0457142857142857
72,0.0,0.0478571428571428
73,0.0,0.0175
74,0.0,0.0220833333333333
75,0.0,0.0314285714285714
76,0.0,0.0603448275862069
77,0.0,0.0508695652173913
78,0.0,0.0040624999999999
79,0.0,0.0002941176470588
80,0.0,0.0005
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0111764705882352
86,0.0,0.0
87,0.0,0.0003030303030303
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.015
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0259375
97,0.0,0.0002941176470588
98,0.0,0.0026470588235294
99,0.0,0.00125
100,0.0,0.0153125
101,0.0,0.0054545454545454
102,0.0,0.006060606060606
103,0.0,0.0042424242424242
104,0.0,0.0062068965517241
105,0.0,0.0027272727272727
106,0.0002777777777777,0.0018181818181818
107,0.0005714285714285,0.005
108,0.0,0.01875
109,0.0,0.015
110,0.0,0.0
111,0.0,0.02
112,0.0,0.0511764705882352
113,0.0,0.0
114,0.0,0.005625
115,0.0011428571428571,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0062857142857142,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0034285714285714,0.0073529411764705
127,0.0,0.0403030303030303
128,0.0,0.0448387096774193
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0211428571428571
132,0.0,0.0574285714285714
133,0.0,0.0267647058823529
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
