,움직임_1,움직임_0
318,3.434,4.085
319,3.453,3.614
320,4.198,3.589
321,3.398,3.494
322,3.435,3.591
323,3.365,3.41
324,3.427,3.477
325,3.483,3.53
326,3.457,3.428
327,3.375,3.525
328,3.319,3.695
329,5.73,3.645
330,7.303,3.647
331,5.472,3.575
332,5.213,3.706
333,5.168,3.722
334,5.702,3.732
335,1.995,3.672
336,7.367,3.704
337,1.515,3.783
338,4.85,3.932
339,5.549,4.179
340,4.576,3.698
341,4.675,3.576
342,4.892,3.497
343,4.329,3.507
344,4.212,3.511
345,4.276,3.521
346,4.261,3.495
347,5.288,3.488
348,5.731,3.555
349,6.108,3.491
350,5.117,3.56
351,4.648,5.039
352,3.53,4.533
353,3.942,4.162
354,7.063,3.763
355,1.99,6.172
356,1.345,6.431
357,5.391,6.065
358,4.985,5.573
359,4.752,5.213
360,1.546,6.148
361,4.351,7.116
362,3.248,5.694
363,4.945,4.558
364,1.859,5.212
365,7.061,7.25
366,6.374,6.181
367,4.99,5.459
368,6.678,6.952
369,2.537,5.393
370,5.113,5.824
371,4.94,6.325
372,4.273,4.497
373,3.721,4.065
374,5.251,4.238
375,1.577,4.049
376,4.811,5.835
377,6.698,4.382
378,4.404,5.49
379,4.2,5.124
380,4.192,4.223
381,4.238,3.848
382,4.396,3.88
383,4.391,4.356
384,4.396,3.728
385,4.341,4.076
386,4.303,3.478
387,4.369,3.474
388,4.402,3.541
389,4.349,3.842
390,4.375,3.839
391,4.325,3.673
392,4.307,3.83
393,4.277,3.726
394,4.079,3.487
395,6.595,3.476
396,5.426,3.453
397,4.855,1.548
398,4.997,2.562
399,4.463,6.162
400,4.464,4.82
401,4.542,2.794
402,4.426,0.965
403,4.356,5.724
404,4.312,7.105
405,4.529,1.662
406,4.641,7.278
407,5.097,6.847
408,6.104,1.511
409,4.696,5.676
410,4.542,0.983
411,4.466,6.952
412,4.357,6.277
413,4.466,1.657
414,4.563,5.36
415,5.943,1.02
416,5.327,4.443
417,6.924,6.384
418,4.708,6.444
419,6.019,5.533
420,3.312,5.194
421,3.421,7.649
422,1.396,6.237
423,2.199,5.352
424,1.99,6.112
425,2.749,5.351
426,2.764,4.571
427,3.378,5.452
428,3.218,7.636
429,3.242,4.876
430,3.215,4.96
431,3.345,4.527
432,3.698,4.589
433,3.683,4.58
434,4.029,4.563
435,5.017,4.751
436,4.703,4.612
437,3.865,4.465
438,3.613,4.891
439,3.915,5.239
440,3.809,4.768
441,3.693,4.649
442,3.625,4.482
443,5.438,4.527
444,3.511,4.207
445,3.674,4.276
446,4.457,6.666
447,3.905,5.455
448,4.22,4.633
449,5.364,4.597
450,3.837,5.453
451,4.568,0.922
452,4.768,5.096
453,4.544,5.044
454,3.827,4.466
455,7.343,6.074
456,5.048,6.094
457,4.246,6.08
458,4.517,5.432
459,4.124,1.268
460,4.1,5.545
461,4.089,8.291
462,4.196,8.806
463,3.855,5.704
464,5.823,5.158
465,5.344,6.875
466,4.404,5.313
467,3.934,5.247
468,4.188,3.999
469,4.087,3.795
470,3.965,3.862
471,3.862,4.491
472,3.826,4.059
473,3.869,8.551
474,3.897,5.707
475,3.966,5.96
476,3.953,5.15
477,3.999,5.302
478,5.01,4.916
479,4.302,4.981
480,4.308,5.206
481,5.01,5.508
482,4.823,4.856
483,4.553,4.739
484,7.486,4.742
485,4.698,5.186
486,4.361,9.592
487,4.388,6.105
488,4.103,5.292
489,4.126,4.635
490,4.244,5.607
491,4.338,5.044
492,4.373,4.996
493,4.14,5.272
494,4.176,5.614
495,4.222,5.135
496,4.128,5.053
497,4.008,5.007
498,4.152,5.236
499,4.051,5.161
500,4.231,5.255
501,4.01,4.598
502,4.691,7.0
503,4.512,6.286
504,4.915,4.668
505,4.591,5.03
506,4.753,5.96
507,4.127,5.985
508,4.135,4.298
509,4.033,5.341
510,3.946,5.392
511,3.856,4.321
512,3.967,4.828
513,3.96,9.455
514,3.848,5.334
515,4.425,5.028
516,4.003,5.608
517,3.915,5.248
518,4.601,5.735
519,4.926,4.794
520,4.075,6.036
521,4.138,5.694
522,4.188,4.583
523,4.47,5.379
524,7.83,6.031
525,5.155,4.713
526,6.569,4.731
527,6.233,5.589
528,5.802,4.807
529,4.628,5.881
530,3.815,6.225
531,3.649,4.895
532,3.87,5.506
533,4.132,5.911
534,3.68,6.031
535,3.508,6.45
536,3.538,6.814
537,3.624,5.84
538,6.07,5.53
539,7.501,4.748
540,5.266,4.852
541,5.181,4.344
542,4.331,4.253
543,4.395,5.216
544,4.609,5.044
545,4.391,7.677
546,4.289,8.057
547,4.333,7.937
548,4.61,5.879
549,4.302,8.237
550,4.527,5.421
551,6.616,6.768
552,5.356,5.862
553,4.944,8.292
554,5.783,5.832
555,4.95,7.107
556,6.579,5.482
557,6.665,5.684
558,5.974,5.09
559,6.162,4.908
560,5.81,9.244
