,움직임(z축 X)_1,움직임(z축 X)_0
317,2.437,3.3
318,2.434,2.564
319,2.675,2.54
320,2.437,2.543
321,2.437,2.531
322,2.438,2.817
323,2.453,2.522
324,2.429,2.502
325,2.428,2.552
326,2.429,2.448
327,2.427,2.432
328,2.983,2.435
329,2.642,2.574
330,2.833,2.415
331,3.162,2.468
332,2.595,2.351
333,2.483,2.413
334,2.509,2.414
335,2.636,2.414
336,3.16,2.433
337,2.422,2.413
338,2.512,2.431
339,2.51,2.419
340,2.475,2.392
341,2.495,2.389
342,3.581,2.324
343,2.434,3.359
344,2.404,3.198
345,2.397,3.51
346,2.392,3.071
347,2.883,3.132
348,2.716,2.806
349,3.055,2.445
350,3.228,3.499
351,2.777,3.18
352,2.425,3.056
353,2.572,2.53
354,3.255,2.673
355,3.191,2.817
356,2.989,2.821
357,2.58,2.994
358,2.304,2.656
359,2.634,2.662
360,3.419,2.702
361,2.92,2.807
362,3.163,2.451
363,2.8,2.468
364,2.446,2.419
365,2.429,2.423
366,2.763,2.431
367,2.688,2.445
368,2.596,2.444
369,2.401,2.428
370,2.405,2.421
371,2.399,2.449
372,2.39,2.442
373,2.392,2.433
374,2.41,2.435
375,2.414,2.43
376,2.401,2.415
377,2.401,2.415
378,2.401,2.408
379,2.4,2.654
380,2.4,2.348
381,2.411,2.34
382,2.416,2.347
383,2.418,2.878
384,2.418,2.619
385,2.408,2.652
386,2.832,2.391
387,2.612,2.586
388,2.458,3.056
389,2.455,2.63
390,2.505,2.713
391,2.465,2.614
392,2.466,2.95
393,2.442,2.794
394,2.454,2.556
395,2.445,2.998
396,2.449,2.644
397,2.519,2.473
398,2.72,2.356
399,2.671,2.342
400,2.381,2.413
401,2.395,2.786
402,2.37,2.578
403,2.376,3.32
404,2.384,2.858
405,2.397,2.717
406,2.822,2.845
407,2.777,2.724
408,3.386,2.705
409,2.459,2.856
410,2.718,2.84
411,2.961,2.839
412,2.342,2.816
413,2.328,2.816
414,2.309,2.818
415,2.311,2.839
416,2.324,3.267
417,2.425,2.847
418,2.309,2.832
419,2.538,2.801
420,2.729,2.674
421,2.844,2.668
422,2.471,2.874
423,2.308,2.903
424,2.312,2.977
425,2.356,2.682
426,2.305,2.897
427,2.302,2.897
428,2.592,2.904
429,2.304,2.93
430,2.318,2.941
431,2.471,2.793
432,2.377,3.132
433,2.41,2.636
434,2.958,2.435
435,2.312,2.534
436,2.419,2.604
437,2.352,2.757
438,2.414,2.517
439,2.385,2.621
440,2.804,2.552
441,2.421,2.46
442,2.328,2.501
443,2.4,2.85
444,2.393,2.685
445,2.457,2.594
446,2.447,2.798
447,2.452,2.684
448,2.434,2.692
449,2.627,2.485
450,2.481,2.653
451,2.167,2.776
452,2.157,2.545
453,2.068,2.639
454,2.071,2.7
455,2.073,2.566
456,2.077,2.548
457,2.157,2.653
458,2.079,2.512
459,2.082,2.747
460,2.082,2.825
461,2.082,2.565
462,2.085,2.568
463,2.083,2.725
464,3.369,3.322
465,2.625,2.406
466,2.548,2.794
467,2.56,2.849
468,2.695,2.779
469,2.713,2.724
470,2.755,2.808
471,2.585,2.526
472,2.356,2.524
473,2.355,2.49
474,2.358,2.7
475,2.352,2.757
476,2.355,2.998
477,2.358,2.973
478,2.37,2.984
479,2.359,2.646
480,2.367,2.571
481,2.433,2.959
482,2.37,2.548
483,2.371,2.921
484,2.368,2.579
